00626a,a956fb
7d0872,e973d0
00b24b,f57df6
8dfb30,59490b
ba50b7,20ead9
00b24a,738200
00b257,9d635f
00626f,c0cc6d
00b255,95a2d0
2da318,fe9665
00626d,81c987
effcf2,b82280
2e9975,1970dc
00b259,7210f0
dcdf9a,a18aa2
f03493,304c3c
00626c,11716a
006282,df10cd
00b251,10826a
00b252,855e0a
006288,b148c5
790416,1c748d
dd53de,635c68
8731c2,281ddc
41c7f4,9107cd
ad6931,1af665
04587f,a97702
00b246,eb770c
00625e,7935ba
00b244,efb670
00b245,003369
313dd3,b58af2
00625c,d3337e
00625d,c8807b
00625a,15abc5
44ad06,4279f0
00625b,088ebc
1535f0,2d7ee9
8dc5c3,c948a2
006271,e3e638
e444b1,30d3e6
313dc7,685144
36d2e0,fec7bc
fb9ba8,9a543f
789441,f4bd9f
006270,2d0dd9
3d6c70,c1f2ff
00b243,211377
00b240,bf75ca
278ef7,2483f9
00b241,956391
00b22d,a232ad
006277,c1b25d
be46b6,572a9f
006278,6b8666
00b22c,233780
006273,d93d66
00b26a,f1ae15
00b26d,97d0b2
ea88a4,506462
00b26c,77ee78
00b279,a18552
f69dd1,7b8afc
709f2a,cc90fc
c047f3,82ff44
2cdca7,34ab41
df93a3,3d815f
bc3c26,290207
7ba203,e3c355
00b275,335e51
901c6b,75d98f
95b153,4cc432
00b276,423c46
00b273,05c8f9
d3b71d,4acb15
9bf56c,cb80d5
f21dea,e6c84c
00627a,078fb2
f4adf0,dcabca
00b25b,963ef9
00b269,386264
2ca94c,508cc0
00627c,970635
3bd0f5,00c491
006293,7c4cf7
cdc011,38adde
00b260,f7f0df
00b261,f4a2a3
006292,6c0c9e
7aa86b,0f1259
006290,e39acc
00b262,283003
024bf1,4f0d40
006299,4b8ab2
511149,a02a27
006295,4eef76
006296,4a59d2
f03454,24bd2d
000be7,da5383
6824d2,f14d51
000be9,fdc782
d615ff,0e1ce7
00b219,99f006
000be3,0a88f0
006239,206724
000be4,5f225a
000be5,de27df
006237,62ccd2
000be6,e0c2f0
006238,b6de64
00622e,55fed1
000bda,763652
00622c,61831a
4cb093,41f7e4
00b212,9c65ac
78e446,5a5260
00622a,2b8821
00b216,ab28ff
99a72b,2e5171
f7b40c,e507e2
000bdc,50c7b6
00b210,03da47
ac2336,c9addc
000bdd,cf6a39
000bde,c030aa
000bf0,e4aa6a
000bf2,09a67c
925c52,bfabce
000bf3,c8aac4
006245,f70be6
006242,af789f
006243,086134
000bd6,44281c
000bd7,ca8ecf
000bd8,7b30a3
000bd2,83dcee
000bd4,4f5f0a
006226,814773
006227,2cd28c
f7b424,54fbbf
ef78a7,2e7951
7d3bdd,7db9de
00b202,059f99
00621a,726cb7
00b200,70bc7f
c7fbeb,8f16d4
4c0b09,e4ecf7
00b206,d58ca5
fb6814,6d6b1c
00b207,2f9780
00b204,95aa7b
fef0c6,685345
000bca,b773fc
9ddec7,89e7f0
000bcb,dce6d7
000bcc,ff2993
00621e,46333d
000bcd,0d12cf
00621f,df66bb
045846,d7ac2b
4bb5a9,50a249
000be0,e54176
006236,62341a
000be1,44d6fc
2b1336,5ca63c
006234,54a301
073bca,124839
006231,0faf5f
006232,3087c6
1bff86,1430d0
3d6c59,7395e8
eb8366,dfab2a
63ba8b,9e938c
00b22a,af789f
006259,f28592
c53875,61583f
c8c25f,6fc255
00624f,bba914
dc8eb0,9835cb
000bfa,bbd255
866d87,230ba4
734ddc,161741
00b236,211d6a
000bfb,b91414
00624d,4fbb03
000bfc,43a309
d855af,666aeb
00624e,b088bb
00624b,bafd64
3442d8,88e69b
00b238,2cbc51
000bfd,31bf13
4f103f,6cdb6a
81495e,0ab4dc
000bfe,108d27
00b232,6f0291
000bff,073be5
49f29a,50ce73
00b230,1e2a52
006268,3239f4
00b21c,efbd44
c56bb1,a118ff
006269,7ecbf2
00b21a,7a4136
006265,a75af0
006263,367933
3f76c2,259ee7
ac235b,28c4b7
000bf8,bf5e1a
000bf9,ba6708
000bf4,22fc7d
1e5f63,dfe162
000bf6,dff85f
006248,738200
024ba5,9c419c
006249,9d33cf
00623e,dd228f
00b225,d1685c
0be60c,e8a223
000bea,50cac9
00623c,9e9cc5
00b222,7ac703
000beb,0ca266
00623d,2b88ea
00623a,642616
00623b,39cdb1
fe4c92,ece47a
0eca65,06ac65
000bed,f92348
00b221,cf7f7f
000bee,c0b51d
000bef,f84264
006258,f75271
00b20c,fde04d
006255,672a0b
006253,262109
000d2b,1151d2
000d2d,46e0d5
6d235b,9f1ba8
000d2e,3809dd
6fb30c,3bdc34
ebd321,e2f55b
000d2a,c68a7e
153710,5e894b
000d2f,775361
ad9d86,d7dcdd
000d45,93d1e1
000d46,dff01d
000d47,73337f
3a8874,5327d8
000d40,fe9b63
000d41,cf2f38
000d42,428b2d
000d43,135986
128747,72ab50
000d48,ee2fea
758f2c,e5c7df
000d49,9893ba
000d1a,7b4dab
000d1b,a878aa
000d1c,ae7523
dcdeac,c26e31
fc0c7d,a03dbc
3202f9,60f9ac
b0b444,69b134
fc0c80,cfb59c
000d33,25593c
8b35c4,fa3749
000d35,2d5724
000d32,f275d0
4c0b52,0064f5
